hypervisor,host,guest,ram,tps
vbox,mac,centos,2,1217.782261
vbox,mac,centos,2,910.868681
vbox,mac,centos,2,854.76867
vbox,mac,centos,2,1045.708081
vbox,mac,centos,2,1057.275221
vbox,mac,centos,4,1289.909432
vbox,mac,centos,4,1356.690745
vbox,mac,centos,4,615.996695
vbox,mac,centos,4,997.113775
vbox,mac,centos,4,1332.09193
vbox,mac,ubuntu,4,509.63802
vbox,mac,ubuntu,4,533.066498
vbox,mac,ubuntu,4,570.652988
vbox,mac,ubuntu,4,521.662673
vbox,mac,ubuntu,4,527.995875
vbox,windows,centos,4,1185.703899
vbox,windows,centos,4,1275.963886
vbox,windows,centos,4,1404.96121
vbox,windows,centos,4,202.67263
vbox,windows,centos,4,264.741277
vbox,windows,ubuntu,4,1260.601061
vbox,windows,ubuntu,4,1108.945845
vbox,windows,ubuntu,4,1284.937735
vbox,windows,ubuntu,4,969.308756
vbox,windows,ubuntu,4,1101.337621
vmware,mac,centos,2,1133.94079
vmware,mac,centos,2,976.012763
vmware,mac,centos,2,913.853547
vmware,mac,centos,2,953.914328
vmware,mac,centos,2,989.143571
vmware,mac,centos,4,1198.346321
vmware,mac,centos,4,775.934822
vmware,mac,centos,4,1154.808021
vmware,mac,centos,4,1072.214529
vmware,mac,centos,4,654.177154
vmware,mac,centos,8,544.403197
vmware,mac,centos,8,390.342506
vmware,mac,centos,8,457.580857
vmware,mac,centos,8,296.672856
vmware,mac,centos,8,360.865995
vmware,mac,debian,2,1023.640632
vmware,mac,debian,2,1236.635284
vmware,mac,debian,2,1266.763488
vmware,mac,debian,2,1134.085781
vmware,mac,debian,2,1268.842202
vmware,mac,debian,4,1138.779469
vmware,mac,debian,4,791.48278
vmware,mac,debian,4,833.368988
vmware,mac,debian,4,1267.373606
vmware,mac,debian,4,949.506132
vmware,mac,debian,8,475.099811
vmware,mac,debian,8,306.645791
vmware,mac,debian,8,429.988994
vmware,mac,debian,8,403.883205
vmware,mac,debian,8,359.030124
vmware,mac,ubuntu,2,1129.830161
vmware,mac,ubuntu,2,1040.792845
vmware,mac,ubuntu,2,1113.095994
vmware,mac,ubuntu,2,1015.900119
vmware,mac,ubuntu,2,1096.781749
vmware,mac,ubuntu,4,918.830538
vmware,mac,ubuntu,4,833.233041
vmware,mac,ubuntu,4,1204.471054
vmware,mac,ubuntu,4,1048.679943
vmware,mac,ubuntu,4,899.55489
vmware,mac,ubuntu,8,344.042865
vmware,mac,ubuntu,8,365.640182
vmware,mac,ubuntu,8,369.243819
vmware,mac,ubuntu,8,406.105659
vmware,mac,ubuntu,8,494.495582
vmware,windows,centos,4,959.650932
vmware,windows,centos,4,952.568951
vmware,windows,centos,4,994.040968
vmware,windows,centos,4,1162.787873
vmware,windows,centos,4,1210.64601
vmware,windows,debian,4,1227.710271
vmware,windows,debian,4,1543.34652
vmware,windows,debian,4,1518.014885
vmware,windows,debian,4,1240.992439
vmware,windows,debian,4,1334.224809
vmware,windows,ubuntu,4,1337.381859
vmware,windows,ubuntu,4,1280.450565
vmware,windows,ubuntu,4,1155.560995
vmware,windows,ubuntu,4,1203.228301
vmware,windows,ubuntu,4,1010.456604
